phenotype_name,accession_id,accession_name,accession_cs_number,accession_longitude,accession_latitude,accession_country,phenotype_value,obs_unit_id
B11,6903,Bor-4,CS76454,16.2326,49.4013,Czech Republic,71.9811,696
B11,6927,KNO-10,CS76973,-86.621,41.2816,US,91.50299999999999,910
B11,6960,Rennes-11,CS77211,-1.41,48.5,France,80.0964,17
B11,6961,Se-0,CS76597,-3.53333,38.3333,Spain,72.9876,18
B11,6966,Sq-1,CS77266,-0.6383,51.4083,UK,85.1255,1040
B11,6900,Bil-5,CS76709,18.484,63.324,Sweden,73.3522,24
B11,6899,Bay-0,,11.0,49.0,GER,96.7573,32
B11,6971,Ts-5,CS77388,2.93056,41.7194,Spain,81.1996,722
B11,6974,Ull2-5,CS78818,13.9707,56.0648,Sweden,85.5871,36
B11,6973,Ull2-3,CS78817,13.9707,56.0648,Sweden,88.9356,41
B11,6914,Edi-0,,-3.16028,55.9494,UK,83.9293,734
B11,7524,Rmx-A02,,-86.511,42.036,US,101.303,44
B11,6922,Gu-0,CS76498,8.0,50.3,GER,77.5897,57
B11,6936,Lz-0,,3.3,46.0,France,79.0679,756
B11,6958,Ra-0,CS76582,3.3,46.0,France,88.1743,65
B11,6908,CIBC-5,CS78894,-0.6383,51.4083,UK,86.3505,1023
B11,6907,CIBC-17,CS76770,-0.6383,51.4083,UK,84.521,1025
B11,8424,Kas-2,CS78905,77.0,35.0,India,86.9584,1030
B11,6046,Löv-5,CS77050,18.079,62.801,Sweden,60.8062,392
B11,7438,N13,,34.15,61.36,Russia,99.2999,798
B11,6972,Tsu-1,,136.31,34.43,Japan,83.7956,123
B11,6904,Br-0,CS76455,16.6166,49.2,Czech Republic,76.048,1074
B11,6924,HR-5,CS76514,-0.6383,51.4083,UK,86.7434,10
B11,6917,Fäb-2,CS76850,18.3174,63.0165,Sweden,81.6757,1086
B11,6929,Kondara,CS76532,68.49,38.48,Tajikistan,87.0221,1088
B11,7526,Pna-10,,-86.3253,42.0945,US,84.1626,1060
B11,8214,Gy-0,CS78901,2.0,49.0,France,84.535,431
B11,6930,Kz-1,,73.1,49.5,Kazakhstan,78.9994,440
B11,6943,NFA-10,CS77126,-0.6383,51.4083,UK,89.931,1065
B11,7521,Lp2-6,CS77052,16.81,49.38,Czech Republic,84.9821,1176
